,Occur_date,Occur_weekday,incident,cases,time,location,release,zip,latitude,longitude
1,NA,NA,Robbery,2021-085102,NA,Starflower Dr. / Aster Ln.,Lt. Eugene Woehrle,53719,43.0527993,-89.5171601
2,NA,NA,Theft,2021-071858,NA,7717 Mineral Point Road (Kwik Trip Gas Station),Sgt. Nicholas Ellis,53717,43.060206,-89.5171004
3,NA,NA,Theft,2021-081677,NA,2800 Maple View Dr,PIO Tyler Grigg,53719,43.0229572,-89.4962621
4,NA,NA,Weapons Violation,2021-83866,NA,200 block of N. Gammon Rd.,Sgt. Nicholas Ellis,53717,43.0701064,-89.5025442
5,NA,NA,Fraud,2021-0900945,NA,6200 block Kilpatrick Ln,PIO Tyler Grigg,53718,43.0854284,-89.2737562
6,NA,NA,Arrested Person,2021-075885,NA,5700 Russett Rd,PIO Tyler Grigg,53711,43.0330352,-89.4769451
7,NA,NA,Disturbance,2021-080921,NA,2833 E Washington Ave,PIO Tyler Grigg,53704,43.1020189,-89.3446491
8,NA,NA,Arrested Person,2021-080431,NA,600 block Grand Canyon Dr,PIO Tyler Grigg,53719,43.0541231,-89.4981206
9,NA,NA,Exposure,2021-079080,NA,1600 block Packers Ave,PIO Tyler Grigg,53704,43.1175665,-89.3555455
10,NA,NA,Weapons Violation,2021-80566,NA,5900 blk of Schroeder Rd.,Sgt. Kurt Wege,53711,43.0467809,-89.4796123
11,NA,NA,Weapons Violation,2021-80352,NA,2900 blk Turbot Dr.,Sgt. Kurt Wege,53713,43.0294699,-89.418236
12,NA,NA,Arrested Person,2021-075989,NA,1200 block Northport Dr,PIO Tyler Grigg,53704,43.136041,-89.3764946
13,NA,NA,Fraud,2021-0900847,NA,6200 block Mineral Point Rd,PIO Tyler Grigg,53705,43.0611737,-89.486911
14,NA,NA,Weapons Violation,2021-075468,NA,1700 block Lake Point Dr,PIO Tyler Grigg,53713,43.0481456,-89.3440692
15,NA,NA,Robbery,2021-075468,NA,4407 Cottage Grove Rd,PIO Tyler Grigg,53716,43.0838048,-89.306577
16,NA,NA,Robbery,2021-075468,NA,4407 Cottage Grove Rd,PIO Tyler Grigg,53716,43.0838048,-89.306577
17,NA,NA,Disturbance,2021-074783,NA,702 Midvale Blvd,PIO Tyler Grigg,53711,43.0497869,-89.4515038
18,NA,NA,Theft,2021-073086,NA,8800 block of Timber Wolf Trail,P.O. Gracia Rodriguez,53717,43.076635,-89.5370571
19,NA,NA,Intoxicated/Impaired Driver,2021-069608,NA,E Washington Ave/N Ingersoll St,P.O. Gracia Rodriguez,53703,43.0848685,-89.3698577
20,NA,NA,Weapons Violation,2021-069629,NA,1300 block of Waldorf Blvd,P.O. Gracia Rodriguez,53719,43.0383613,-89.5236968
21,NA,NA,Traffic Incident,2021-71879,NA,USH 12 EB/Rimrock Road,P.O. Gracia Rodriguez,53713,43.0373247,-89.3792624
22,NA,NA,Robbery,2021-71477,NA,"1100 Block of Moorland Rd., (Residential)",Lt. Shannon Blackamore,53713,43.0337008,-89.3667818
23,NA,NA,Intoxicated/Impaired Driver,2021-069842,NA,1400 block Pleasure Dr.,Sgt. Joseph Engler,53704,43.1209484,-89.3696101
24,NA,NA,Disturbance,2021-068335,NA,800 block S Gammon Rd,PIO Tyler Grigg,53719,43.0472228,-89.5038856
25,NA,NA,Information,2021-067193,NA,4402 E Broadway Service Rd,PIO Tyler Grigg,53716,43.0487396,-89.3047703
26,NA,NA,Robbery,2021-067017,NA,200 block S. High Point Rd.,Lt. Eugene Woehrle,53717,43.0640378,-89.5177276
27,NA,NA,Miscellaneous Sex Offense,2020-385466,NA,900 block N High Point Rd,PIO Tyler Grigg,53717,43.0781733,-89.5187572
28,NA,NA,Arrested Person,2021-065260,NA,Waunona Woods Court,PIO Tyler Grigg,53713,43.0489961,-89.3413692
29,NA,NA,Arrested Person,2021-065463,NA,E Washington Ave and N Dickinson St,PIO Tyler Grigg,53703,43.0886362,-89.3645095
30,NA,NA,Murder/Homicide,2021-065193,NA,2402 Winnebago Street,PIO Tyler Grigg,53704,43.0982431,-89.3503717
31,NA,NA,Weapons Violation,2021-0064205,NA,3900 E Washington Ave,Sgt. Luke Lengfeld,53704,43.1216458,-89.3190816
32,NA,NA,Weapons Violation,2021-0064205,NA,3900 E Washington Ave,Sgt. Luke Lengfeld,53704,43.1216458,-89.3190816
33,NA,NA,Traffic Incident,2021-062321,NA,N Gammon Rd at Fiskdale Cir,PIO Tyler Grigg,53717,43.0800739,-89.502309
34,NA,NA,Weapons Violation,2021-61179,NA,Eastwood Dr near Amoth Court,Sgt. Ryan Gibson,53704,43.091416,-89.3536054
35,NA,NA,Murder/Homicide,2020-404251,NA,Flower Ln,PIO Julie Laundrie,53717,43.067306,-89.5032211
36,NA,NA,Check Person,2021-058482,NA,1000 block W Dayton St,PIO Tyler Grigg,53715,43.0709825,-89.402505
37,NA,NA,Check Person,2021-057592,NA,1100 block Moorland Rd,PIO Tyler Grigg,53713,43.0337008,-89.3667818
38,NA,NA,Death Investigation,2021-056316,NA,1700 block Blossom Ln,PIO Tyler Grigg,53716,43.0742047,-89.3089867
39,NA,NA,Robbery,2021-055626,NA,2813 N Sherman Ave (Subway),Sgt. Nicholas Ellis,53704,43.1276361,-89.3630365
40,NA,NA,Weapons Violation,2021-055159,NA,900 Block of S Park St.,Sgt. Nicholas Ellis,53715,43.0578774,-89.4001047
41,NA,NA,Robbery,2020-453264,NA,6700 block of Mineral Point Rd (Capitol Petro Mart Gas Station),Sgt. Ryan Gibson,53705,43.0608229,-89.4971153
42,NA,NA,Robbery,2021-052476,NA,500 block W Johnson St,PIO Tyler Grigg,53703,43.0722903,-89.393549
43,NA,NA,Drug Investigation,2020-81681,NA,6200 block Maywood Ave,PIO Tyler Grigg,53562,43.1008438,-89.4867537
44,NA,NA,Robbery,2021-51682,NA,686 S Whitney Way,PIO Tyler Grigg,53711,43.0506453,-89.4735969
45,NA,NA,Theft,2021-053162,NA,1100 Williamson St,PIO Tyler Grigg,53703,43.0820322,-89.366141
46,NA,NA,Theft,2021-053092,NA,66 West Towne Mall,PIO Tyler Grigg,53719,43.0569762,-89.5055749
47,NA,NA,Theft,2021-053092,NA,66 West Towne Mall,PIO Tyler Grigg,53719,43.0569762,-89.5055749
48,NA,NA,Robbery,2021-054426,NA,7600 block Mineral Point Rd,PIO Tyler Grigg,53717,43.0609276,-89.5146721
49,NA,NA,Drug Investigation,2020-305665,NA,2100 block E Springs Dr,PIO Tyler Grigg,53704,43.1255801,-89.2979791
50,NA,NA,Information,2021-053235,NA,2134 W Beltline Hwy,PIO Tyler Grigg,53713,43.036745,-89.4147279
51,NA,NA,Robbery,2021-054602,NA,2700 Crossroads Dr. (hotel),Sgt. Galen Wiering,53718,43.1334719,-89.2913532
52,NA,NA,Traffic Incident,2021-052023,NA,1900 block Winnebago St,Sgt. Gregory Sosoka,53704,43.0901316,-89.3566889
53,NA,NA,Threats,2021-050687,NA,33 Junction Ct,PIO Tyler Grigg,53717,43.0737431,-89.5244497
54,NA,NA,Traffic Incident,2021-049801,NA,E Washington Ave and N Fourth St,PIO Tyler Grigg,53704,43.0961697,-89.3541842
55,NA,NA,Theft,2021-048910,NA,8080 Watts Rd,PIO Tyler Grigg,53719,43.0550592,-89.5192377
56,NA,NA,Weapons Violation,2021-046804,NA,711 S Gammon Rd,PIO Tyler Grigg,53711,43.0489722,-89.5026334
57,NA,NA,Traffic Incident,2021-046577,NA,Mendota St and Lien Rd,PIO Tyler Grigg,53704,43.1209305,-89.3237972
58,NA,NA,Attempted Homicide,2021-047033,NA,3000 block of Webb Ave,Sgt. Kurt Wege,53714,43.1052135,-89.3403657
59,NA,NA,Check Person,2021-045420,NA,Waunona Woods Ct,PIO Tyler Grigg,53713,43.0489961,-89.3413692
60,NA,NA,Robbery,2021-046246,NA,3801 E Washington Ave,PIO Tyler Grigg,53714,43.1177159,-89.3183571
61,NA,NA,Robbery,2021-046246,NA,3801 E Washington Ave,PIO Tyler Grigg,53714,43.1177159,-89.3183571
62,NA,NA,Intoxicated/Impaired Driver,2021-045804,NA,6800 block Schroeder Rd,PIO Tyler Grigg,53711,43.0478509,-89.501721
63,NA,NA,Non-Residential Burglary,2021-045955,NA,5300 block Park Meadow Dr,PIO Tyler Grigg,53704,43.1157403,-89.2891555
64,NA,NA,Murder/Homicide,2020-00054320,NA,100 block of N. Blair St.,Sgt. Blake Hoefs,53703,43.0794001,-89.3801942
65,NA,NA,Robbery,2021-045165,NA,255 Junction Road,Lt. David Jugovich,53717,43.0643723,-89.5244376
66,NA,NA,Missing Adult,2021-043607,NA,700 block Cherrywood Ct,Sgt. Ryan Gibson,53714,43.1048927,-89.3094533
67,NA,NA,Non-Residential Burglary,2021-43490,NA,2200 block S. Stoughton Rd (Farm and Fleet),Sgt. Ryan Gibson,53716,43.0656035,-89.309824
68,NA,NA,Theft,2021-042342,NA,1800 block Prairie Rd,PIO Tyler Grigg,53711,43.0335745,-89.4890433
69,NA,NA,Drug Investigation,2021-003431,NA,500 block S Perry Pkwy (Oregon),PIO Tyler Grigg,53575,42.9224544,-89.3732736
70,NA,NA,Traffic Incident,2021-041791,NA,1200 Block East Washington Avenue,Sgt. Livia Novitzke,53703,43.0867958,-89.3686163
71,NA,NA,Traffic Incident,2021-041316,NA,Raymond Rd and McKenna Blvd,PIO Tyler Grigg,53711,43.0317083,-89.4968743
72,NA,NA,Robbery,2021-041276,NA,402 S Gammon Rd,PIO Tyler Grigg,53717,43.0601118,-89.5034127
73,NA,NA,Exposure,2021-040898,NA,500 W Mifflin St,PIO Tyler Grigg,53703,43.0709329,-89.3918188
74,NA,NA,Residential Burglary,2021-039769,NA,100 block Alton Dr,PIO Tyler Grigg,53718,43.0983695,-89.278898
75,NA,NA,Theft,2021-039873,NA,6655 McKee Rd,PIO Tyler Grigg,53719,43.0136861,-89.4979887
76,NA,NA,Disturbance,2021-039282,NA,102 W Corporate Dr,PIO Tyler Grigg,53714,43.0986302,-89.3222691
77,NA,NA,Disturbance,2021-039282,NA,102 W Corporate Dr,PIO Tyler Grigg,53714,43.0986302,-89.3222691
78,NA,NA,Weapons Violation,2021-00039430,NA,US-18 and S Park St (Beltline),Sgt. Daniel Sherrick,NA,NA,NA
79,NA,NA,Traffic Incident,2021-38959,NA,E Washington Ave and Independence Ln,PIO Tyler Grigg,53704,43.1280834,-89.3083387
80,NA,NA,Theft,2021-38680,NA,3019 E Washington Ave,PIO Tyler Grigg,53704,43.1037753,-89.3419911
81,NA,NA,Weapons Violation,2021-38426,NA,Donald Dr and Crest Line Dr,PIO Tyler Grigg,53704,43.1357827,-89.3125129
82,NA,NA,Robbery,2021-00001928,NA,3600 block Cross Hill Dr (Casey's General Store),Sgt. Ryan Gibson,53718,43.1422048,-89.2840779
83,NA,NA,Theft,2021-033778,NA,6698 Odana Rd,PIO Tyler Grigg,53719,43.0568168,-89.4958761
84,NA,NA,Non-Residential Burglary,2021-034789,NA,2121 S Park St,PIO Tyler Grigg,53713,43.0422565,-89.3935753
85,NA,NA,Disturbance,2021-035622,NA,4862 Hayes Rd,PIO Tyler Grigg,53704,43.135956,-89.3005529
86,NA,NA,Disturbance,2021-035267,NA,7011 Watts Rd (Subway),Sgt. Ronald Webster,53719,43.0498188,-89.5042226
87,NA,NA,Weapons Violation,2021-033942,NA,4200 block of Maher Ave,Sgt. Jared Prado,53716,43.0808877,-89.3176171
88,NA,NA,Traffic Incident,2021-33187,NA,Fish Hatchery Rd and W Badger Rd,PIO Tyler Grigg,53713,43.0386117,-89.4040854
89,NA,NA,Attempted Homicide,2020-39114,NA,2700 block Dahle St,PIO Joel Despain,53704,43.1084234,-89.3474366
90,NA,NA,Missing Adult,2021-032124,NA,5000 block E Buckeye Rd,PIO Tyler Grigg,53716,43.0733577,-89.2957758
91,NA,NA,Threats,2021-32506,NA,673 State St,PIO Tyler Grigg,53703,43.0747822,-89.3972013
92,NA,NA,Fraud,2021-21211,NA,4020 Mineral Point Rd,PIO Tyler Grigg,53705,43.0609982,-89.4432004
93,NA,NA,Fraud,2021-21211,NA,4020 Mineral Point Rd,PIO Tyler Grigg,53705,43.0609982,-89.4432004
94,NA,NA,Missing Juvenile,2021-0027454,NA,2800 block of Curry Parkway,Capt. Michael Hanson,53713,43.0349061,-89.4264274
95,NA,NA,Theft,2021-027441,NA,300 block East Towne Mall,PIO Tyler Grigg,53704,43.1279489,-89.3043635
96,NA,NA,Disturbance,2021-025736,NA,89 East Towne Mall,PIO Tyler Grigg,53704,43.1248734,-89.3046417
97,NA,NA,Robbery,2021-025375,NA,4222 E Washington Ave,PIO Tyler Grigg,53704,43.1267508,-89.3113711
98,NA,NA,Weapons Violation,2021-00002002,NA,7000 block Tree Ln,Sgt. Ryan Gibson,53717,43.0655982,-89.5027967
99,NA,NA,Weapons Violation,2021-024627,NA,1600 block Wright St,PIO Tyler Grigg,53704,43.1187489,-89.3305383
100,NA,NA,Non-Residential Burglary,2021-024807,NA,116 W Mifflin St,PIO Tyler Grigg,53703,43.0744442,-89.3872211
101,NA,NA,Arrested Person,2021-23237,NA,200 N First St,PIO Tyler Grigg,53704,43.0934194,-89.3619627
102,NA,NA,Weapons Violation,2021-022721,NA,Woodridge Ct,PIO Tyler Grigg,53704,43.1142701,-89.2987916
103,NA,NA,Arrested Person,2021-020277,NA,100 block of S Bassett St,PIO Tyler Grigg,53703,43.0692423,-89.3895409
104,NA,NA,Traffic Incident,2021-18052,NA,S Stoughton Rd and Lexington Ave,PIO Tyler Grigg,53716,43.0723218,-89.3084055
105,NA,NA,Murder/Homicide,2020-0024505,NA,1900 block of McKenna Blvd,Sgt. Blake Hoefs,53711,43.0321882,-89.4970144
106,NA,NA,Weapons Violation,2021-19572,NA,"700 Block of Pflaum Rd.,",Lt. Shannon Blackamore,53716,43.0627884,-89.3200799
107,NA,NA,Weapons Violation,2021-18830,NA,N. Sherman and Manley St. (Intersection),Lt. Shannon Blackamore,53704,43.1240752,-89.363618
108,NA,NA,Arrested Person,2021-18650,NA,117 MLK Jr. Blvd (State Captiol Building),Lt. Shannon Blackamore,53703,43.0736557,-89.382477
109,NA,NA,Arrested Person,2021-18650,NA,117 MLK Jr. Blvd (State Captiol Building),Lt. Shannon Blackamore,53703,43.0736557,-89.382477
110,NA,NA,Weapons Violation,2021-017529,NA,100 block S. Walbridge Ave.,Lt. Eugene Woehrle,53714,43.0964701,-89.3125223
111,NA,NA,Weapons Violation,2021-16185,NA,1003 Erin St,PIO Tyler Grigg,53715,43.0598609,-89.4024654
112,NA,NA,Threats,2021-15491,NA,E Washington Ave and North Street,PIO Tyler Grigg,53704,43.1003868,-89.3485901
113,NA,NA,Residential Burglary,2021-013259,NA,100 block of Meadow Ridge Ln,PIO Tyler Grigg,53704,43.1381687,-89.4019471
114,NA,NA,Intoxicated/Impaired Driver,2021-13144,NA,Cottage Grove Rd and Atwood Ave,PIO Tyler Grigg,53714,43.0837163,-89.3250164
115,NA,NA,Weapons Violation,2021-013679,NA,1907 S. Park St. (PLS Check Cashing),Lt. Eugene Woehrle,53713,43.0451899,-89.3935155
116,NA,NA,Information,2021-013175,NA,1025 Regent St,P.O. Tyler Grigg,53715,43.067335,-89.4028697
117,NA,NA,Weapons Violation,2021-9441,NA,3841 E Washington Ave,PIO Tyler Grigg,53714,43.1195763,-89.3182105
118,NA,NA,Damaged Property,2021-9450,NA,4200 block Owl Creek Dr,PIO Tyler Grigg,53718,43.0376114,-89.2921244
119,NA,NA,Theft,2021-9407,NA,2900 block Ashford Ln,PIO Tyler Grigg,53713,43.0332693,-89.4251585
120,NA,NA,Weapons Violation,2021-011186,NA,4200 E. Washington Ave.,Lt. Eugene Woehrle,53704,43.1264121,-89.3117481
121,NA,NA,Threats,2021-6595,NA,4505 East Towne Blvd,PIO Tyler Grigg,53704,43.1274609,-89.3066439
122,NA,NA,Residential Burglary,2021-005797,NA,400 block Cosgrove Dr,PIO Tyler Grigg,53719,43.0078995,-89.489612
123,NA,NA,Theft,2021-00006456,NA,4502 East Towne Blvd,P.O. Tyler Grigg,53704,43.1279943,-89.307163
124,NA,NA,Robbery,2021-005504,NA,"1423 Northport Dr., (Citgo Gas Station)",Lt. Shannon Blackamore,53704,43.1339758,-89.3717018
125,NA,NA,Robbery,2021-005504,NA,"1423 Northport Dr., (Citgo Gas Station)",Lt. Shannon Blackamore,53704,43.1339758,-89.3717018
126,NA,NA,Weapons Violation,2021-004821,NA,900 block Stewart St,PIO Tyler Grigg,53713,43.0300399,-89.3965156
127,NA,NA,Residential Burglary,2021-004469,NA,9000 block Silverton Lane,PIO Tyler Grigg,53719,43.0175637,-89.5066296
128,NA,NA,Theft,2021-003488,NA,3167 E Washington Ave,PIO Tyler Grigg,53704,43.1082943,-89.3360695
129,NA,NA,Weapons Violation,2020-004173,NA,"4000 Block Owl Creek Dr.,",Lt. Shannon Blackamore,53718,43.039381,-89.2902145
130,NA,NA,Weapons Violation,2021-002807,NA,Eagan Rd. / Lien Rd.,Lt. Eugene Woehrle,53704,43.1209338,-89.3073541
131,NA,NA,Disturbance,2021-002678,NA,4198 Nakoosa Trl,PIO Tyler Grigg,53714,43.1110204,-89.3127613
132,NA,NA,Traffic Incident,2021-000259,NA,S Whitney Way and Mineral Point Rd,PIO Tyler Grigg,53711,43.0608081,-89.4720169
133,NA,NA,Weapons Violation,2021-000039,NA,Britta Pkwy and Whenona Dr,PIO Tyler Grigg,53711,43.0342655,-89.4485895
134,NA,NA,Weapons Violation,2021-000431,NA,Todd Dr and McDivitt Rd,PIO Tyler Grigg,53713,43.0333512,-89.4229622
135,NA,NA,Theft,2021-003233,NA,2600 block of S. Stoughton Rd.,Sgt. Nicholas Ellis,53716,43.0603808,-89.3099622
136,NA,NA,Weapons Violation,2021-003242,NA,800 block of Vernon Ave,Sgt. Nicholas Ellis,53714,43.0868481,-89.3060346
137,NA,NA,Robbery,2021-002981,NA,700 block Engelhart Dr.,Sgt. Galen Wiering,53713,43.0304393,-89.3750152
138,NA,NA,Weapons Violation,2021-00002049,NA,4000 block of Dempsey Rd,Sgt. Ryan Gibson,53716,43.0824096,-89.316005
139,NA,NA,Theft,2020-473395,NA,600 block of S Dickinson St,PIO Tyler Grigg,53703,43.0844625,-89.3590411
140,NA,NA,Traffic Incident,2020-472348,NA,Gammon Lane at Odana Rd,PIO Tyler Grigg,53719,43.0566156,-89.5030488
141,NA,NA,Traffic Incident,2020-472348,NA,Gammon Lane at Odana Rd,PIO Tyler Grigg,53719,43.0566156,-89.5030488
142,NA,NA,Arrested Person,2020-473153,NA,400 Block of Commerce Dr (Hampton Inn Hotel),Lt. Shannon Blackamore,53719,43.0600187,-89.5256835
143,NA,NA,Check Person,2020-472551,NA,1700 Jefferson St.,Lt. Eugene Woehrle,53711,43.064975,-89.4135028
144,NA,NA,Weapons Violation,2020-468480,NA,2000 block of Mckenna Blvd,PIO Tyler Grigg,53711,43.0317059,-89.4970321
145,NA,NA,Disturbance,2020-469089,NA,2800 block of Dahle St,PIO Tyler Grigg,53704,43.1084079,-89.3452922
146,NA,NA,Death Investigation,2020-470008,NA,1800 block of Portage Rd,PIO Tyler Grigg,53704,43.1237732,-89.3145331
147,NA,NA,Residential Burglary,2020-468101,NA,4500 block Martha Lane,PIO Tyler Grigg,53714,43.0859686,-89.3056376
148,NA,NA,Weapons Violation,2020-470839,NA,1100 block of Moorland Rd,Sgt. Nicholas Eull,53713,43.0337008,-89.3667818
149,NA,NA,Intoxicated/Impaired Driver,2020-466108,NA,1800 block S. Stoughton Rd.,PIO Joel Despain,53716,43.0731039,-89.3098897
150,NA,NA,Traffic Incident,2020-464067,NA,East Washington Ave. (Zeier Rd.),PIO Joel Despain,NA,43.1096584,-89.3353739
151,NA,NA,Traffic Incident,2020-464446,NA,6400 block of Toribrooke Ln,PIO Tyler Grigg,53719,43.0148903,-89.4934463
152,NA,NA,Intoxicated/Impaired Driver,2020-465551,NA,5400 block of Golden Leaf Trail,PIO Tyler Grigg,53704,43.1119958,-89.2892999
153,NA,NA,Non-Residential Burglary,2020-462683,NA,2200 block Independence Lane,PIO Joel Despain,53704,43.1281555,-89.3084256
154,NA,NA,Non-Residential Burglary,2020-463465,NA,222 E Olin Ave,P.O. Tyler Grigg,53713,43.0522093,-89.3796761
155,NA,NA,Non-Residential Burglary,2020-461939,NA,4640 E Washington Ave,P.O. Tyler Grigg,53704,43.131391,-89.305235
156,NA,NA,Disturbance,2020-461838,NA,3220 Commercial Ave,P.O. Tyler Grigg,53714,43.1073203,-89.3342753
157,NA,NA,Disturbance,2020-461838,NA,3220 Commercial Ave,P.O. Tyler Grigg,53714,43.1073203,-89.3342753
158,NA,NA,Theft,2020-328750,NA,2200 block of N Sherman Ave,P.O. Tyler Grigg,53704,43.1229508,-89.3639645
159,NA,NA,Weapons Violation,2020-462387,NA,5600 block of Kalas Street,Lt. David Jugovich,53716,43.0796399,-89.2851578
160,NA,NA,Weapons Violation,2020-462324,NA,300 block of Rethke Ave,Lt. Kipp Hartman,53714,43.1025127,-89.3356457
161,NA,NA,Weapons Violation,2020-462195,NA,200 Block of W Gilman St,Lt. Kipp Hartman,53703,43.0760909,-89.391654
162,NA,NA,Weapons Violation,2020-462086,NA,444 Grand Canyon Dr (Schwoeglers Park Towne Lanes),Lt. Kipp Hartman,53719,43.0576964,-89.4973983
163,NA,NA,Non-Residential Burglary,2020-461259,NA,1124 S. Park St. (Ramen Station),PIO Joel Despain,53715,43.0540051,-89.3967899
164,NA,NA,Arrested Person,2020-460225,NA,2000 block Packers Ave.,PIO Joel Despain,53704,43.1204148,-89.3554623
165,NA,NA,Miscellaneous Sex Offense,2020-345366,NA,2600 block of Moland St,P.O. Tyler Grigg,53704,43.1076493,-89.3490614
166,NA,NA,Theft,2020-458721,NA,400 block of S Yellowstone Dr,P.O. Tyler Grigg,53705,43.060617,-89.4920083
167,NA,NA,Traffic Incident,2020-455956,NA,Raymond Rd. (at McKenna Blvd.),PIO Joel Despain,NA,43.0317269,-89.4959904
168,NA,NA,Intoxicated/Impaired Driver,2020-457521,NA,S. Park Street (at West Beltline Highway),PIO Joel Despain,NA,43.0507929,-89.3944559
169,NA,NA,Traffic Incident,2020-457835,NA,West Beltline Highway (near South Towne),PIO Joel Despain,NA,43.0428229,-89.4657145
170,NA,NA,Weapons Violation,2020-456669,NA,Atwood Ave at Hudson Ave,P.O. Tyler Grigg,53704,43.0939443,-89.3450412
171,NA,NA,Non-Residential Burglary,2020-456250,NA,2306 S. Park St.,PIO Joel Despain,53713,43.0406371,-89.3952561
172,NA,NA,Traffic Incident,2020-453819,NA,USH 12 W/B at S. Park Street,Lt. David Jugovich,NA,43.0507929,-89.3944559
173,NA,NA,Traffic Incident,2020-453819,NA,USH 12 W/B at S. Park Street,Lt. David Jugovich,NA,43.0507929,-89.3944559
174,NA,NA,Information,2020-453962,NA,211 S. Carroll Street,Lt. David Jugovich,53703,43.0723971,-89.3825501
175,NA,NA,Weapons Violation,2020-453857,NA,1700 block Heath Avenue,Lt. David Jugovich,53704,43.1196331,-89.3636714
176,NA,NA,Traffic Incident,2020-453450,NA,S Gammon Rd and Park Ridge Dr,Sgt. Ryan Gibson,53719,43.0445545,-89.5033166
177,NA,NA,Non-Residential Burglary,2020-452384,NA,1810 S. Park St.,PIO Joel Despain,53713,43.0465044,-89.3946069
178,NA,NA,Theft,2020-434269,NA,1400 block Prairie Rd.,PIO Joel Despain,53711,43.0379092,-89.488949
179,NA,NA,Exposure,2020-450536,NA,1759 Thierer Rd,P.O. Tyler Grigg,53704,43.1235174,-89.3128214
180,NA,NA,Weapons Violation,2020-450261,NA,1600 block Fordem Ave.,PIO Joel Despain,53704,43.0933395,-89.3636741
181,NA,NA,Weapons Violation,2020-450496,NA,1200 block McKenna Blvd.,PIO Joel Despain,53719,43.0410724,-89.5049701
182,NA,NA,Theft,2020-447318,NA,N. Blackhawk Ave.,PIO Joel Despain,53705,43.0718491,-89.4463678
183,NA,NA,Robbery,2020-449166,NA,3859 E. Washington Ave. (Mobil gas station),PIO Joel Despain,53704,43.1206465,-89.3176848
184,NA,NA,Robbery,2020-448994,NA,Green Ave at Meadow Ridge Ln,P.O. Tyler Grigg,53704,43.1376665,-89.3978121
185,NA,NA,Traffic Incident,2020-449076,NA,Agriculture Drive (at Femrite Drive),PIO Joel Despain,NA,43.0531626,-89.291602
186,NA,NA,Robbery,2020-442785,NA,2601 Shopko Dr. (Mobil gas station),PIO Joel Despain,53704,43.1111499,-89.3479643
187,NA,NA,Weapons Violation,2020-447493,NA,3101 N. Sherman Ave. (Mobil gas station),PIO Joel Despain,53704,43.1300607,-89.3631846
188,NA,NA,Traffic Incident,2020-447506,NA,N. Whitney Way (at Odana Rd.),PIO Joel Despain,53705,43.072176,-89.4681167
189,NA,NA,Traffic Incident,2020-447506,NA,N. Whitney Way (at Odana Rd.),PIO Joel Despain,53705,43.072176,-89.4681167
190,NA,NA,Drug Investigation,2020-362495,NA,6500 block of Normandy Ln,P.O. Tyler Grigg,53719,43.0575886,-89.4960699
191,NA,NA,Residential Burglary,2020-447260,NA,Waban Hill,PIO Joel Despain,53711,43.0433399,-89.448013
192,NA,NA,Intoxicated/Impaired Driver,2020-446998,NA,Northport Dr. (at N. Sherman Ave.),PIO Joel Despain,53704,43.1367001,-89.3785882
193,NA,NA,Non-Residential Burglary,2020-445519,NA,1114 S. Park St. (Olivia's Hairstyles),PIO Joel Despain,53715,43.0545635,-89.3972576
194,NA,NA,Theft,2020-446451,NA,800 block N. Thompson Dr.,PIO Joel Despain,53704,43.1088047,-89.2986742
195,NA,NA,Robbery,2020-445827,NA,1625 N. Stoughton Rd. (Kwik Trip),PIO Joel Despain,53704,43.120749,-89.3243631
196,NA,NA,Theft,2020-444025,NA,800 block N. Thompson Dr.,PIO Joel Despain,53704,43.1088047,-89.2986742
197,NA,NA,Weapons Violation,2020-444004,NA,700 block N. Thompson Dr.,PIO Joel Despain,53704,43.1066116,-89.3007246
198,NA,NA,Weapons Violation,2020-443751,NA,3400 block Marcy Rd,Sgt. Ryan Gibson,53704,43.1302198,-89.382086
199,NA,NA,Murder/Homicide,2020-441657,NA,500 block Northport Drive,PIO Joel Despain,53704,43.1406073,-89.3899165
200,NA,NA,Weapons Violation,2020-440673,NA,Westbound Hwy 12 (Beltline Hwy) (Westbound Beltline Highway),Lt. Shannon Blackamore,53713,43.0434073,-89.3666211
201,NA,NA,Residential Burglary,2020-441106,NA,Denton Place,PIO Joel Despain,53711,43.0307757,-89.4711121
202,NA,NA,Traffic Incident,2020-441335,NA,1000 block of Williamson St,Lt. Kipp Hartman,53703,43.080772,-89.3678943
203,NA,NA,Weapons Violation,2020-441322,NA,1700 block Tennyson Ln,Lt. Kipp Hartman,53704,43.1348913,-89.3633389
204,NA,NA,Domestic/Family Trouble,2020-439509,NA,Holborn Circle,PIO Joel Despain,53718,43.1347601,-89.2871831
205,NA,NA,Domestic/Family Trouble,2020-439509,NA,Holborn Circle,PIO Joel Despain,53718,43.1347601,-89.2871831
206,NA,NA,Theft,2020-424854,NA,400 block of North Star Dr,P.O. Tyler Grigg,53718,43.0942029,-89.2758911
207,NA,NA,Non-Residential Burglary,2020-437824,NA,Williamson St.,PIO Joel Despain,53703,43.0813438,-89.3671071
208,NA,NA,Theft,2020-435299,NA,5100 block Brandenburg Way (Also Unity Way and Star Spangled Trail),PIO Joel Despain,53718,43.0275589,-89.2939265
209,NA,NA,Weapons Violation,2020-438270,NA,800 block Troy Drive,PIO Joel Despain,53704,43.1338027,-89.3841293
210,NA,NA,Weapons Violation,2020-438529,NA,Danbury Street (at Lumley Road),PIO Joel Despain,53711,43.0333456,-89.4467259
211,NA,NA,Weapons Violation,2020-438419,NA,2900 block Hoard St.,PIO Joel Despain,53704,43.1051603,-89.3425427
